actual_answer,student_answer,score,feedback
"Water boils at 100 degrees Celsius at sea level.","Water boils at 100°C at sea level.",0.95,"✅ Excellent answer! Well-matched with key facts."
"Water boils at 100 degrees Celsius at sea level.","Water boils at around 100 degrees.",0.75,"👍 Very good answer! Minor improvements needed."
"Water boils at 100 degrees Celsius at sea level.","Water gets hot and turns to steam.",0.42,"🤔 Partially correct. Needs more specific details."
"Water boils at 100 degrees Celsius at sea level.","Water boils at 90 degrees Celsius.",0.35,"⚠️ Significant factual errors. Requires substantial revision."
"Water boils at 100 degrees Celsius at sea level.","Water turns into vapor at 100 degrees Celsius when at sea level pressure.",0.92,"✅ Excellent answer! Well-matched with key facts."
"Water boils at 100 degrees Celsius at sea level.","Water changes from liquid to gas.",0.38,"🤔 Partially correct. Needs more specific details."
"Water boils at 100 degrees Celsius at sea level.","The boiling point of H2O is 100°C at standard atmospheric pressure.",0.95,"✅ Excellent answer! Well-matched with key facts."
"The Earth revolves around the Sun in approximately 365.25 days.","The Earth rotates around the Sun in 365 days.",0.75,"👍 Very good answer! Minor improvements needed."
"The Earth revolves around the Sun in approximately 365.25 days.","The Earth completes its orbit around the Sun in about 365.25 days, which is one year.",0.95,"✅ Excellent answer! Well-matched with key facts."
"The Earth revolves around the Sun in approximately 365.25 days.","Earth goes around the sun.",0.45,"🤔 Partially correct. Needs more specific details."
"The Earth revolves around the Sun in approximately 365.25 days.","The Earth takes 24 hours to spin on its axis.",0.15,"⚠️ Significant factual errors. Requires substantial revision."
"The Earth revolves around the Sun in approximately 365.25 days.","It takes Earth one year to orbit the Sun completely.",0.82,"👍 Very good answer! Minor improvements needed."
"The Earth revolves around the Sun in approximately 365.25 days.","The orbital period of Earth around the Sun is approximately 365.25 days, which is why we have leap years.",0.98,"✅ Excellent answer! Well-matched with key facts."
"The Great Wall of China is around 21,196 kilometers long.","The Great Wall of China is 10,000 kilometers long.",0.35,"⚠️ Significant factual errors. Requires substantial revision."
"The Great Wall of China is around 21,196 kilometers long.","The Great Wall of China is approximately 21,000 kilometers in length.",0.92,"✅ Excellent answer! Well-matched with key facts."
"The Great Wall of China is around 21,196 kilometers long.","The Great Wall is very long and located in China.",0.48,"🤔 Partially correct. Needs more specific details."
"The Great Wall of China is around 21,196 kilometers long.","The Great Wall of China stretches for thousands of kilometers across northern China.",0.68,"👍 Very good answer! Minor improvements needed."
"The Great Wall of China is around 21,196 kilometers long.","The Great Wall spans about 21,196 km across northern China and was built to protect against invasions.",0.95,"✅ Excellent answer! Well-matched with key facts."
"The Great Wall of China is around 21,196 kilometers long.","The Great Wall is a long series of walls and fortifications.",0.42,"🤔 Partially correct. Needs more specific details."
"Photosynthesis is the process by which green plants, algae, and some bacteria convert sunlight into chemical energy. During this process, plants take in carbon dioxide and water, and using the energy from sunlight, they produce glucose and oxygen. This process is vital for the Earth's ecosystem as it is the primary source of oxygen and organic matter for many living organisms.","Photosynthesis is how plants turn sunlight into energy. They absorb carbon dioxide and water, and through sunlight, they make glucose and release oxygen. This process supports life by producing oxygen.",0.72,"👍 Very good answer! Minor improvements needed."
"Photosynthesis is the process by which green plants, algae, and some bacteria convert sunlight into chemical energy. During this process, plants take in carbon dioxide and water, and using the energy from sunlight, they produce glucose and oxygen. This process is vital for the Earth's ecosystem as it is the primary source of oxygen and organic matter for many living organisms.","Photosynthesis is when plants make their own food using sunlight.",0.32,"⚠️ Answer covers only some key points. Expand your response to include more details."
"Photosynthesis is the process by which green plants, algae, and some bacteria convert sunlight into chemical energy. During this process, plants take in carbon dioxide and water, and using the energy from sunlight, they produce glucose and oxygen. This process is vital for the Earth's ecosystem as it is the primary source of oxygen and organic matter for many living organisms.","Photosynthesis is the biological process where plants, algae, and certain bacteria transform sunlight into chemical energy. The organisms absorb CO2 and H2O, and with sunlight energy, create glucose and release O2. This fundamental process provides both oxygen and organic compounds essential for Earth's ecosystem.",0.95,"✅ Excellent answer! Well-matched with key facts."
"Photosynthesis is the process by which green plants, algae, and some bacteria convert sunlight into chemical energy. During this process, plants take in carbon dioxide and water, and using the energy from sunlight, they produce glucose and oxygen. This process is vital for the Earth's ecosystem as it is the primary source of oxygen and organic matter for many living organisms.","Plants use photosynthesis to convert water and nutrients from soil into energy.",0.25,"⚠️ Significant factual errors. Requires substantial revision."
"Photosynthesis is the process by which green plants, algae, and some bacteria convert sunlight into chemical energy. During this process, plants take in carbon dioxide and water, and using the energy from sunlight, they produce glucose and oxygen. This process is vital for the Earth's ecosystem as it is the primary source of oxygen and organic matter for many living organisms.","In photosynthesis, plants capture light energy to convert CO2 and H2O into glucose and oxygen, which is released as a byproduct.",0.85,"✅ Excellent answer! Well-matched with key facts."
"Photosynthesis is the process by which green plants, algae, and some bacteria convert sunlight into chemical energy. During this process, plants take in carbon dioxide and water, and using the energy from sunlight, they produce glucose and oxygen. This process is vital for the Earth's ecosystem as it is the primary source of oxygen and organic matter for many living organisms.","The photosynthesis equation is: 6CO2 + 6H2O + light energy → C6H12O6 + 6O2",0.68,"👍 Very good answer! Minor improvements needed."
"The Industrial Revolution was a period of major industrialization that began in the late 18th century and continued into the 19th century. It started in Britain and spread to other parts of the world. The revolution brought significant technological advancements, including the steam engine, mechanized textile production, and improved transportation systems. It also led to urbanization, changes in social structures, and economic growth.","The Industrial Revolution happened in the 18th century and started in Britain. It led to advancements in technology and transportation and changed society.",0.65,"🤔 Partially correct. Needs more specific details."
"The Industrial Revolution was a period of major industrialization that began in the late 18th century and continued into the 19th century. It started in Britain and spread to other parts of the world. The revolution brought significant technological advancements, including the steam engine, mechanized textile production, and improved transportation systems. It also led to urbanization, changes in social structures, and economic growth.","The Industrial Revolution was a time when factories were built and people moved to cities for work. It began in England.",0.48,"🤔 Partially correct. Needs more specific details."
"The Industrial Revolution was a period of major industrialization that began in the late 18th century and continued into the 19th century. It started in Britain and spread to other parts of the world. The revolution brought significant technological advancements, including the steam engine, mechanized textile production, and improved transportation systems. It also led to urbanization, changes in social structures, and economic growth.","The Industrial Revolution began in late 18th century Britain and continued through the 19th century. It introduced major technological innovations like the steam engine and mechanized manufacturing, while causing social shifts as people moved from rural areas to growing cities. This transformation spread globally and fundamentally changed economic systems.",0.92,"✅ Excellent answer! Well-matched with key facts."
"The Industrial Revolution was a period of major industrialization that began in the late 18th century and continued into the 19th century. It started in Britain and spread to other parts of the world. The revolution brought significant technological advancements, including the steam engine, mechanized textile production, and improved transportation systems. It also led to urbanization, changes in social structures, and economic growth.","Industrial Revolution started in America in the 1900s with the invention of computers.",0.12,"⚠️ Significant factual errors. Requires substantial revision."
"The Industrial Revolution was a period of major industrialization that began in the late 18th century and continued into the 19th century. It started in Britain and spread to other parts of the world. The revolution brought significant technological advancements, including the steam engine, mechanized textile production, and improved transportation systems. It also led to urbanization, changes in social structures, and economic growth.","Starting in Britain in the late 1700s, the Industrial Revolution transformed manufacturing through inventions like the steam engine. It caused rapid urbanization and economic changes.",0.85,"✅ Excellent answer! Well-matched with key facts."
"The Industrial Revolution was a period of major industrialization that began in the late 18th century and continued into the 19th century. It started in Britain and spread to other parts of the world. The revolution brought significant technological advancements, including the steam engine, mechanized textile production, and improved transportation systems. It also led to urbanization, changes in social structures, and economic growth.","The Industrial Revolution saw the rise of factories and manufacturing.",0.35,"⚠️ Answer is too brief. Provide more details."
"World War II lasted from 1939 to 1945 and involved many countries worldwide. The war was fought between the Allies, including the United States, the Soviet Union, and Britain, and the Axis Powers, led by Germany, Japan, and Italy. Major events included the invasion of Poland, the Battle of Stalingrad, the D-Day invasion, and the dropping of atomic bombs on Hiroshima and Nagasaki. The war ended with the unconditional surrender of Germany and Japan.","World War II happened in the 1900s and was fought between Germany and the United States. It ended with a big battle.",0.28,"⚠️ Answer has some correct elements but needs significant improvement."
"World War II lasted from 1939 to 1945 and involved many countries worldwide. The war was fought between the Allies, including the United States, the Soviet Union, and Britain, and the Axis Powers, led by Germany, Japan, and Italy. Major events included the invasion of Poland, the Battle of Stalingrad, the D-Day invasion, and the dropping of atomic bombs on Hiroshima and Nagasaki. The war ended with the unconditional surrender of Germany and Japan.","World War II was from 1939-1945. The Allies (US, UK, USSR) fought against the Axis (Germany, Italy, Japan). It began with Germany invading Poland and ended after atomic bombs were dropped on Japan.",0.85,"✅ Excellent answer! Well-matched with key facts."
"World War II lasted from 1939 to 1945 and involved many countries worldwide. The war was fought between the Allies, including the United States, the Soviet Union, and Britain, and the Axis Powers, led by Germany, Japan, and Italy. Major events included the invasion of Poland, the Battle of Stalingrad, the D-Day invasion, and the dropping of atomic bombs on Hiroshima and Nagasaki. The war ended with the unconditional surrender of Germany and Japan.","WWII was a global conflict that lasted six years starting in 1939. It involved the Allies fighting against the Axis powers.",0.58,"🤔 Partially correct. Needs more specific details."
"World War II lasted from 1939 to 1945 and involved many countries worldwide. The war was fought between the Allies, including the United States, the Soviet Union, and Britain, and the Axis Powers, led by Germany, Japan, and Italy. Major events included the invasion of Poland, the Battle of Stalingrad, the D-Day invasion, and the dropping of atomic bombs on Hiroshima and Nagasaki. The war ended with the unconditional surrender of Germany and Japan.","World War 2 was caused by economic problems after World War 1.",0.15,"⚠️ Significant factual errors. Requires substantial revision."
"World War II lasted from 1939 to 1945 and involved many countries worldwide. The war was fought between the Allies, including the United States, the Soviet Union, and Britain, and the Axis Powers, led by Germany, Japan, and Italy. Major events included the invasion of Poland, the Battle of Stalingrad, the D-Day invasion, and the dropping of atomic bombs on Hiroshima and Nagasaki. The war ended with the unconditional surrender of Germany and Japan.","WWII (1939-1945) was fought between Allies (US, UK, USSR) and Axis powers (Germany, Italy, Japan). Key events included the Holocaust, Pearl Harbor, D-Day, and atomic bombings of Japan.",0.88,"✅ Excellent answer! Well-matched with key facts."
