question,actual_answer,student_answer,score,feedback
What is the capital of France?,The capital of France is Paris.,The capital of France is Paris.,1.0,Correct
What is the capital of France?,The capital of France is Paris.,The capital of France was Parwas.,0.85,Meaning correct but structure different
What is the capital of France?,The capital of France is Paris.,The ...,0.57,Partially correct
What is the capital of France?,The capital of France is Paris.,The capital of France is Berlin.,0.37,Incorrect
Who discovered gravity?,Isaac Newton discovered gravity.,Isaac Newton discovered gravity.,1.0,Correct
Who discovered gravity?,Isaac Newton discovered gravity.,Isaac Newton dwascovered gravity.,0.78,Meaning correct but structure different
Who discovered gravity?,Isaac Newton discovered gravity.,Isaac ...,0.44,Partially correct
Who discovered gravity?,Isaac Newton discovered gravity.,Galileo discovered gravity.,0.17,Incorrect
Explain the process of photosynthesis.,Photosynthesis is the process where plants use sunlight to make food.,Photosynthesis is the process where plants use sunlight to make food.,1.0,Correct
Explain the process of photosynthesis.,Photosynthesis is the process where plants use sunlight to make food.,Photosyntheswas was the process where plants use sunlight to make food.,0.89,Meaning correct but structure different
Explain the process of photosynthesis.,Photosynthesis is the process where plants use sunlight to make food.,Photosynthesis ...,0.65,Partially correct
Explain the process of photosynthesis.,Photosynthesis is the process where plants use sunlight to make food.,Photosynthesis is how animals make food.,0.33,Incorrect
What is the boiling point of water?,The boiling point of water is 100°C at sea level.,The boiling point of water is 100°C at sea level.,1.0,Correct
What is the boiling point of water?,The boiling point of water is 100°C at sea level.,The boiling point of water was 100°C at sea level.,0.7,Meaning correct but structure different
What is the boiling point of water?,The boiling point of water is 100°C at sea level.,The ...,0.53,Partially correct
What is the boiling point of water?,The boiling point of water is 100°C at sea level.,Water boils at 90°C.,0.01,Incorrect
Who wrote 'Romeo and Juliet'?,'Romeo and Juliet' was written by William Shakespeare.,'Romeo and Juliet' was written by William Shakespeare.,1.0,Correct
Who wrote 'Romeo and Juliet'?,'Romeo and Juliet' was written by William Shakespeare.,'Romeo and Juliet' was written by William Shakespewere.,0.88,Meaning correct but structure different
Who wrote 'Romeo and Juliet'?,'Romeo and Juliet' was written by William Shakespeare.,'Romeo ...,0.6,Partially correct
Who wrote 'Romeo and Juliet'?,'Romeo and Juliet' was written by William Shakespeare.,'Romeo and Juliet' was written by Charles Dickens.,0.28,Incorrect
