actual_answer,student_answer,score,feedback
"Paris is the capital of France","Paris is the capital of France",1,"Correct"
"Paris is the capital of France","France capital is Paris",0.9,"Meaning correct but structure different"
"Paris is the capital of France","Rome is the capital of France",0,"Incorrect"
"The sun rises in the east","The sun sets in the east",0.5,"Partially correct"
"Water boils at 100°C","Water freezes at 100°C",0,"Incorrect"
"The largest planet in the solar system is Jupiter","Jupiter is the biggest planet",1,"Correct"
"The largest planet in the solar system is Jupiter","Saturn is the largest planet",0,"Incorrect"
"H2O is the chemical formula for water","H2O is the chemical formula for water",1,"Correct"
"H2O is the chemical formula for water","H2O represents hydrogen",0.5,"Partially correct"
"The Great Wall of China is visible from space","The Great Wall of China cannot be seen from space",0,"Incorrect"
"Shakespeare wrote Hamlet","Hamlet was written by Shakespeare",1,"Correct"
"Shakespeare wrote Hamlet","Shakespeare wrote Othello",0,"Incorrect"
"The capital of Italy is Rome","Rome is the capital of Italy",1,"Correct"
"The capital of Italy is Rome","Paris is the capital of Italy",0,"Incorrect"
"The freezing point of water is 0°C","Water freezes at zero degrees Celsius",1,"Correct"
"The freezing point of water is 0°C","Water boils at 0°C",0,"Incorrect"
"Photosynthesis occurs in plants","Plants perform photosynthesis",1,"Correct"
"Photosynthesis occurs in plants","Animals perform photosynthesis",0,"Incorrect"
"The Pythagorean theorem states that a² + b² = c²","The sum of the squares of two sides equals the square of the hypotenuse",1,"Correct"
"The Pythagorean theorem states that a² + b² = c²","The hypotenuse equals the square of the sides",0.5,"Partially correct"
"The capital of India is New Delhi","New Delhi is the capital of India",1,"Correct"
"The capital of India is New Delhi","Mumbai is the capital of India",0,"Incorrect"
"Mount Everest is the tallest mountain in the world","Mount Everest is the highest peak",1,"Correct"
"Mount Everest is the tallest mountain in the world","K2 is the tallest mountain",0,"Incorrect"
"Electric current is measured in amperes","Amperes measure electric current",1,"Correct"
"Electric current is measured in amperes","Ohms measure electric current",0,"Incorrect"
"The human heart has four chambers","There are four chambers in the human heart",1,"Correct"
"The human heart has four chambers","The human heart has three chambers",0,"Incorrect"
"Albert Einstein developed the theory of relativity","The theory of relativity was developed by Einstein",1,"Correct"
"Albert Einstein developed the theory of relativity","Einstein developed the theory of evolution",0,"Incorrect"
"Water is composed of hydrogen and oxygen","Hydrogen and oxygen make up water",1,"Correct"
"Water is composed of hydrogen and oxygen","Water contains carbon",0,"Incorrect"
"DNA stands for deoxyribonucleic acid","Deoxyribonucleic acid is DNA",1,"Correct"
"DNA stands for deoxyribonucleic acid","DNA means ribonucleic acid",0,"Incorrect"
"Earth orbits the Sun","The Earth revolves around the Sun",1,"Correct"
"Earth orbits the Sun","The Sun orbits the Earth",0,"Incorrect"
"7 multiplied by 6 equals 42","Seven times six is forty-two",1,"Correct"
"7 multiplied by 6 equals 42","Seven times six is forty-three",0,"Incorrect"
"The Pacific Ocean is the largest ocean","The largest ocean is the Pacific",1,"Correct"
"The Pacific Ocean is the largest ocean","The Atlantic Ocean is the largest",0,"Incorrect"
"The human body has 206 bones","Humans have 206 bones",1,"Correct"
"The human body has 206 bones","Humans have 210 bones",0,"Incorrect"
"Light travels faster than sound","Sound travels slower than light",1,"Correct"
"Light travels faster than sound","Sound and light travel at the same speed",0,"Incorrect"
"The capital of the USA is Washington, D.C.","Washington, D.C. is the capital of the USA",1,"Correct"
"The capital of the USA is Washington, D.C.","New York is the capital of the USA",0,"Incorrect"
"Chlorophyll gives plants their green color","Green color in plants is due to chlorophyll",1,"Correct"
"Chlorophyll gives plants their green color","Plants are green because of oxygen",0,"Incorrect"
"The square root of 64 is 8","Eight is the square root of sixty-four",1,"Correct"
"The square root of 64 is 8","The square root of 64 is 9",0,"Incorrect"
"Sound is measured in decibels","Decibels measure sound",1,"Correct"
"Sound is measured in decibels","Hertz measure sound",0,"Incorrect"
"The boiling point of water is 100°C","Water boils at 100 degrees Celsius",1,"Correct"
"The boiling point of water is 100°C","Water freezes at 100°C",0,"Incorrect"
"The human brain weighs about 1.4 kg","The brain weighs approximately 1.4 kg",1,"Correct"
"The human brain weighs about 1.4 kg","The brain weighs 2 kg",0,"Incorrect"
"Venus is the hottest planet in the solar system","The hottest planet is Venus",1,"Correct"
"Venus is the hottest planet in the solar system","Mars is the hottest planet",0,"Incorrect"
"E = mc² is Einstein's mass-energy equivalence equation","Einstein's equation is E = mc²",1,"Correct"
"E = mc² is Einstein's mass-energy equivalence equation","E = mc³ is Einstein's equation",0,"Incorrect"
"Gravity causes objects to fall towards the Earth","Objects fall due to gravity",1,"Correct"
"Gravity causes objects to fall towards the Earth","Objects float due to gravity",0,"Incorrect"
"A triangle has three sides","Three sides make up a triangle",1,"Correct"
"A triangle has three sides","A triangle has four sides",0,"Incorrect"
"Oxygen is necessary for combustion","Combustion requires oxygen",1,"Correct"
"Oxygen is necessary for combustion","Water is necessary for combustion",0,"Incorrect"
"A square has four equal sides","A square has four sides of equal length",1,"Correct"
"A square has four equal sides","A square has three equal sides",0,"Incorrect"
"The Earth rotates on its axis","The Earth spins on its axis",1,"Correct"
"The Earth rotates on its axis","The Earth stands still",0,"Incorrect"
"The moon orbits the Earth","The Earth orbits the moon",0,"Incorrect"
"The heart pumps blood","The heart circulates blood",1,"Correct"
"The heart pumps blood","The brain pumps blood",0,"Incorrect"
"Carbon dioxide is used in photosynthesis","Plants use carbon dioxide for photosynthesis",1,"Correct"
"Carbon dioxide is used in photosynthesis","Oxygen is used in photosynthesis",0,"Incorrect"
"The sun rises in the east","The sun rises in the west",0,"Incorrect"
"The sun rises in the east","The sun rises in the east",1,"Correct"
"Water is composed of H2O","Water is made of H2O",1,"Correct"
"Water is composed of H2O","Water is H2O",0.9,"Meaning correct but slightly abbreviated"
"Water is composed of H2O","Water is composed of CO2",0,"Incorrect"
